[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[13:38:35]   [640/2952] discard=318 maybe=167 keep=155 err=0 rate=0.03/s eta=1510min
[13:45:01]   [650/2952] discard=321 maybe=170 keep=159 err=0 rate=0.03/s eta=1503min
[13:51:32]   [660/2952] discard=325 maybe=173 keep=162 err=0 rate=0.03/s eta=1497min
[13:58:01]   [670/2952] discard=330 maybe=175 keep=165 err=0 rate=0.03/s eta=1490min
[14:04:34]   [680/2952] discard=335 maybe=176 keep=169 err=0 rate=0.03/s eta=1483min
[14:10:51]   [690/2952] discard=341 maybe=178 keep=171 err=0 rate=0.03/s eta=1476min
[14:17:43]   [700/2952] discard=344 maybe=184 keep=172 err=0 rate=0.03/s eta=1471min
[14:23:58]   [710/2952] discard=350 maybe=186 keep=174 err=0 rate=0.03/s eta=1463min
[14:30:20]   [720/2952] discard=359 maybe=187 keep=174 err=0 rate=0.03/s eta=1456min
[14:36:55]   [730/2952] discard=366 maybe=187 keep=177 err=0 rate=0.03/s eta=1450min
[14:43:20]   [740/2952] discard=372 maybe=189 keep=179 err=0 rate=0.03/s eta=1443min
[14:49:55]   [750/2952] discard=375 maybe=194 keep=181 err=0 rate=0.03/s eta=1437min
[14:56:12]   [760/2952] discard=382 maybe=195 keep=183 err=0 rate=0.03/s eta=1429min
[15:02:51]   [770/2952] discard=387 maybe=199 keep=184 err=0 rate=0.03/s eta=1423min
[15:09:16]   [780/2952] discard=394 maybe=199 keep=187 err=0 rate=0.03/s eta=1416min
[15:15:31]   [790/2952] discard=403 maybe=200 keep=187 err=0 rate=0.03/s eta=1409min
[15:21:48]   [800/2952] discard=411 maybe=201 keep=188 err=0 rate=0.03/s eta=1402min
[15:28:44]   [810/2952] discard=417 maybe=204 keep=189 err=0 rate=0.03/s eta=1397min
[15:35:18]   [820/2952] discard=426 maybe=205 keep=189 err=0 rate=0.03/s eta=1390min
[15:41:56]   [830/2952] discard=433 maybe=208 keep=189 err=0 rate=0.03/s eta=1384min
[15:48:17]   [840/2952] discard=441 maybe=209 keep=190 err=0 rate=0.03/s eta=1377min
[15:54:35]   [850/2952] discard=443 maybe=212 keep=195 err=0 rate=0.03/s eta=1370min
[16:01:07]   [860/2952] discard=448 maybe=216 keep=196 err=0 rate=0.03/s eta=1364min
[16:07:42]   [870/2952] discard=453 maybe=218 keep=199 err=0 rate=0.03/s eta=1357min
[16:14:24]   [880/2952] discard=455 maybe=224 keep=201 err=0 rate=0.03/s eta=1351min
[16:21:10]   [890/2952] discard=459 maybe=229 keep=202 err=0 rate=0.03/s eta=1345min
[16:27:42]   [900/2952] discard=466 maybe=230 keep=204 err=0 rate=0.03/s eta=1339min
[16:34:09]   [910/2952] discard=472 maybe=233 keep=205 err=0 rate=0.03/s eta=1332min
[16:40:41]   [920/2952] discard=478 maybe=234 keep=208 err=0 rate=0.03/s eta=1325min
[16:47:15]   [930/2952] discard=481 maybe=237 keep=212 err=0 rate=0.03/s eta=1319min
[16:53:53]   [940/2952] discard=488 maybe=237 keep=215 err=0 rate=0.03/s eta=1313min
[17:00:22]   [950/2952] discard=489 maybe=242 keep=219 err=0 rate=0.03/s eta=1306min
[17:06:41]   [960/2952] discard=492 maybe=245 keep=223 err=0 rate=0.03/s eta=1299min
[17:13:12]   [970/2952] discard=498 maybe=248 keep=224 err=0 rate=0.03/s eta=1293min
[17:20:12]   [980/2952] discard=504 maybe=250 keep=226 err=0 rate=0.03/s eta=1287min
[17:26:32]   [990/2952] discard=508 maybe=254 keep=228 err=0 rate=0.03/s eta=1280min
[17:33:16]   [1000/2952] discard=512 maybe=259 keep=229 err=0 rate=0.03/s eta=1274min
[17:39:48]   [1010/2952] discard=519 maybe=261 keep=230 err=0 rate=0.03/s eta=1268min
[17:46:03]   [1020/2952] discard=524 maybe=264 keep=232 err=0 rate=0.03/s eta=1260min
[17:52:20]   [1030/2952] discard=533 maybe=265 keep=232 err=0 rate=0.03/s eta=1254min
[17:58:34]   [1040/2952] discard=540 maybe=267 keep=233 err=0 rate=0.03/s eta=1246min
[18:05:14]   [1050/2952] discard=549 maybe=268 keep=233 err=0 rate=0.03/s eta=1240min
[18:11:40]   [1060/2952] discard=556 maybe=270 keep=234 err=0 rate=0.03/s eta=1234min
[18:18:28]   [1070/2952] discard=559 maybe=276 keep=235 err=0 rate=0.03/s eta=1227min
[18:24:56]   [1080/2952] discard=567 maybe=278 keep=235 err=0 rate=0.03/s eta=1221min
[18:31:43]   [1090/2952] discard=574 maybe=281 keep=235 err=0 rate=0.03/s eta=1215min
[18:38:01]   [1100/2952] discard=578 maybe=283 keep=239 err=0 rate=0.03/s eta=1208min
[18:44:33]   [1110/2952] discard=586 maybe=284 keep=240 err=0 rate=0.03/s eta=1201min
[18:51:15]   [1120/2952] discard=592 maybe=285 keep=243 err=0 rate=0.03/s eta=1195min
[18:57:39]   [1130/2952] discard=597 maybe=288 keep=245 err=0 rate=0.03/s eta=1188min
[19:04:21]   [1140/2952] discard=604 maybe=290 keep=246 err=0 rate=0.03/s eta=1182min
[19:11:08]   [1150/2952] discard=611 maybe=292 keep=247 err=0 rate=0.03/s eta=1176min
[19:17:29]   [1160/2952] discard=620 maybe=293 keep=247 err=0 rate=0.03/s eta=1169min
[19:24:06]   [1170/2952] discard=624 maybe=294 keep=252 err=0 rate=0.03/s eta=1163min
[19:30:32]   [1180/2952] discard=628 maybe=299 keep=253 err=0 rate=0.03/s eta=1156min
[19:37:19]   [1190/2952] discard=632 maybe=304 keep=254 err=0 rate=0.03/s eta=1150min
[19:43:57]   [1200/2952] discard=638 maybe=307 keep=255 err=0 rate=0.03/s eta=1144min
[19:50:25]   [1210/2952] discard=645 maybe=310 keep=255 err=0 rate=0.03/s eta=1137min
[19:56:56]   [1220/2952] discard=651 maybe=313 keep=256 err=0 rate=0.03/s eta=1131min
[20:03:19]   [1230/2952] discard=658 maybe=314 keep=258 err=0 rate=0.03/s eta=1124min
[20:09:52]   [1240/2952] discard=663 maybe=318 keep=259 err=0 rate=0.03/s eta=1117min
[20:16:08]   [1250/2952] discard=667 maybe=323 keep=260 err=0 rate=0.03/s eta=1110min
[20:22:34]   [1260/2952] discard=671 maybe=329 keep=260 err=0 rate=0.03/s eta=1104min
[20:28:59]   [1270/2952] discard=678 maybe=331 keep=261 err=0 rate=0.03/s eta=1097min
[20:35:27]   [1280/2952] discard=679 maybe=338 keep=263 err=0 rate=0.03/s eta=1091min
[20:42:00]   [1290/2952] discard=685 maybe=340 keep=265 err=0 rate=0.03/s eta=1084min
[20:48:31]   [1300/2952] discard=691 maybe=344 keep=265 err=0 rate=0.03/s eta=1078min
[20:54:45]   [1310/2952] discard=700 maybe=345 keep=265 err=0 rate=0.03/s eta=1071min
[21:01:00]   [1320/2952] discard=706 maybe=347 keep=267 err=0 rate=0.03/s eta=1064min
