nohup: ignoring input
[22:18:06] Searching for collection named: 'a - non-SSRN Screening'
[22:18:08]   Found collection key: X5MG34TK
[22:18:08] Fetching items from collection X5MG34TK...
[05:14:29]   [640/2556] discard=342 maybe=189 keep=109 err=0 rate=0.03/s eta=1243min
[05:20:52]   [650/2556] discard=349 maybe=191 keep=110 err=0 rate=0.03/s eta=1236min
[05:27:10]   [660/2556] discard=354 maybe=194 keep=112 err=0 rate=0.03/s eta=1229min
[05:33:29]   [670/2556] discard=358 maybe=197 keep=115 err=0 rate=0.03/s eta=1222min
[05:39:58]   [680/2556] discard=366 maybe=198 keep=116 err=0 rate=0.03/s eta=1216min
[05:46:48]   [690/2556] discard=372 maybe=199 keep=119 err=0 rate=0.03/s eta=1210min
[05:53:18]   [700/2556] discard=378 maybe=202 keep=120 err=0 rate=0.03/s eta=1204min
[05:59:59]   [710/2556] discard=386 maybe=204 keep=120 err=0 rate=0.03/s eta=1198min
[06:06:31]   [720/2556] discard=391 maybe=208 keep=121 err=0 rate=0.03/s eta=1191min
[06:12:52]   [730/2556] discard=400 maybe=209 keep=121 err=0 rate=0.03/s eta=1184min
[06:19:16]   [740/2556] discard=403 maybe=211 keep=126 err=0 rate=0.03/s eta=1178min
[06:25:39]   [750/2556] discard=407 maybe=217 keep=126 err=0 rate=0.03/s eta=1171min
[06:32:16]   [760/2556] discard=413 maybe=220 keep=127 err=0 rate=0.03/s eta=1165min
[06:38:51]   [770/2556] discard=418 maybe=224 keep=128 err=0 rate=0.03/s eta=1159min
[06:45:17]   [780/2556] discard=426 maybe=226 keep=128 err=0 rate=0.03/s eta=1152min
[06:51:48]   [790/2556] discard=431 maybe=230 keep=129 err=0 rate=0.03/s eta=1146min
[06:58:07]   [800/2556] discard=438 maybe=231 keep=131 err=0 rate=0.03/s eta=1139min
[07:04:40]   [810/2556] discard=444 maybe=234 keep=132 err=0 rate=0.03/s eta=1132min
[07:11:10]   [820/2556] discard=448 maybe=240 keep=132 err=0 rate=0.03/s eta=1126min
[07:17:54]   [830/2556] discard=452 maybe=245 keep=133 err=0 rate=0.03/s eta=1120min
[07:24:21]   [840/2556] discard=459 maybe=248 keep=133 err=0 rate=0.03/s eta=1113min
[07:30:56]   [850/2556] discard=460 maybe=255 keep=135 err=0 rate=0.03/s eta=1107min
[07:37:17]   [860/2556] discard=466 maybe=257 keep=137 err=0 rate=0.03/s eta=1100min
[07:43:56]   [870/2556] discard=471 maybe=261 keep=138 err=0 rate=0.03/s eta=1094min
[07:50:14]   [880/2556] discard=479 maybe=263 keep=138 err=0 rate=0.03/s eta=1087min
[07:56:39]   [890/2556] discard=486 maybe=265 keep=139 err=0 rate=0.03/s eta=1081min
[08:03:00]   [900/2556] discard=493 maybe=267 keep=140 err=0 rate=0.03/s eta=1074min
[08:09:24]   [910/2556] discard=501 maybe=269 keep=140 err=0 rate=0.03/s eta=1067min
[08:15:48]   [920/2556] discard=508 maybe=271 keep=141 err=0 rate=0.03/s eta=1061min
[08:22:30]   [930/2556] discard=514 maybe=273 keep=143 err=0 rate=0.03/s eta=1055min
[08:28:55]   [940/2556] discard=518 maybe=277 keep=145 err=0 rate=0.03/s eta=1048min
[08:35:27]   [950/2556] discard=522 maybe=282 keep=146 err=0 rate=0.03/s eta=1042min
[08:42:09]   [960/2556] discard=524 maybe=287 keep=149 err=0 rate=0.03/s eta=1035min
[08:48:34]   [970/2556] discard=530 maybe=289 keep=151 err=0 rate=0.03/s eta=1029min
[08:55:07]   [980/2556] discard=537 maybe=292 keep=151 err=0 rate=0.03/s eta=1022min
[09:01:25]   [990/2556] discard=544 maybe=295 keep=151 err=0 rate=0.03/s eta=1016min
[09:07:46]   [1000/2556] discard=549 maybe=298 keep=153 err=0 rate=0.03/s eta=1009min
[09:14:10]   [1010/2556] discard=554 maybe=302 keep=154 err=0 rate=0.03/s eta=1002min
[09:20:36]   [1020/2556] discard=559 maybe=307 keep=154 err=0 rate=0.03/s eta=996min
[09:27:08]   [1030/2556] discard=564 maybe=310 keep=156 err=0 rate=0.03/s eta=989min
[09:33:38]   [1040/2556] discard=568 maybe=315 keep=157 err=0 rate=0.03/s eta=983min
[09:40:09]   [1050/2556] discard=573 maybe=319 keep=158 err=0 rate=0.03/s eta=976min
[09:46:35]   [1060/2556] discard=581 maybe=321 keep=158 err=0 rate=0.03/s eta=970min
[09:53:16]   [1070/2556] discard=588 maybe=322 keep=160 err=0 rate=0.03/s eta=964min
[09:59:43]   [1080/2556] discard=594 maybe=324 keep=162 err=0 rate=0.03/s eta=957min
[10:06:13]   [1090/2556] discard=598 maybe=330 keep=162 err=0 rate=0.03/s eta=951min
[10:12:55]   [1100/2556] discard=603 maybe=333 keep=164 err=0 rate=0.03/s eta=945min
[10:19:19]   [1110/2556] discard=610 maybe=334 keep=166 err=0 rate=0.03/s eta=938min
[10:25:46]   [1120/2556] discard=615 maybe=337 keep=168 err=0 rate=0.03/s eta=931min
[10:32:08]   [1130/2556] discard=622 maybe=340 keep=168 err=0 rate=0.03/s eta=925min
[10:38:24]   [1140/2556] discard=629 maybe=343 keep=168 err=0 rate=0.03/s eta=918min
[10:44:39]   [1150/2556] discard=634 maybe=346 keep=170 err=0 rate=0.03/s eta=911min
[10:51:04]   [1160/2556] discard=639 maybe=350 keep=171 err=0 rate=0.03/s eta=905min
[10:57:37]   [1170/2556] discard=645 maybe=353 keep=172 err=0 rate=0.03/s eta=898min
[11:03:55]   [1180/2556] discard=652 maybe=356 keep=172 err=0 rate=0.03/s eta=892min
[11:10:39]   [1190/2556] discard=655 maybe=361 keep=174 err=0 rate=0.03/s eta=885min
[11:17:01]   [1200/2556] discard=660 maybe=364 keep=176 err=0 rate=0.03/s eta=879min
[11:23:24]   [1210/2556] discard=661 maybe=371 keep=178 err=0 rate=0.03/s eta=872min
[11:29:51]   [1220/2556] discard=665 maybe=374 keep=181 err=0 rate=0.03/s eta=866min
[11:36:22]   [1230/2556] discard=672 maybe=376 keep=182 err=0 rate=0.03/s eta=859min
[11:42:42]   [1240/2556] discard=677 maybe=381 keep=182 err=0 rate=0.03/s eta=853min
[11:48:56]   [1250/2556] discard=682 maybe=385 keep=183 err=0 rate=0.03/s eta=846min
[11:55:21]   [1260/2556] discard=690 maybe=386 keep=184 err=0 rate=0.03/s eta=839min
[12:01:44]   [1270/2556] discard=699 maybe=387 keep=184 err=0 rate=0.03/s eta=833min
[12:08:12]   [1280/2556] discard=706 maybe=390 keep=184 err=0 rate=0.03/s eta=826min
[12:14:33]   [1290/2556] discard=714 maybe=391 keep=185 err=0 rate=0.03/s eta=820min
[12:20:49]   [1300/2556] discard=723 maybe=392 keep=185 err=0 rate=0.03/s eta=813min
[12:27:09]   [1310/2556] discard=730 maybe=394 keep=186 err=0 rate=0.03/s eta=806min
[12:33:40]   [1320/2556] discard=734 maybe=395 keep=191 err=0 rate=0.03/s eta=800min
[12:40:02]   [1330/2556] discard=740 maybe=396 keep=194 err=0 rate=0.03/s eta=793min
[12:46:39]   [1340/2556] discard=746 maybe=400 keep=194 err=0 rate=0.03/s eta=787min
[12:53:26]   [1350/2556] discard=751 maybe=405 keep=194 err=0 rate=0.03/s eta=781min
[12:59:50]   [1360/2556] discard=757 maybe=409 keep=194 err=0 rate=0.03/s eta=774min
[13:06:21]   [1370/2556] discard=763 maybe=412 keep=195 err=0 rate=0.03/s eta=768min
[13:12:40]   [1380/2556] discard=769 maybe=414 keep=197 err=0 rate=0.03/s eta=761min
[13:19:30]   [1390/2556] discard=774 maybe=417 keep=199 err=0 rate=0.03/s eta=755min
[13:26:02]   [1400/2556] discard=779 maybe=420 keep=201 err=0 rate=0.03/s eta=749min
[13:32:40]   [1410/2556] discard=786 maybe=423 keep=201 err=0 rate=0.03/s eta=742min
[13:39:17]   [1420/2556] discard=793 maybe=426 keep=201 err=0 rate=0.03/s eta=736min
[13:45:37]   [1430/2556] discard=801 maybe=427 keep=202 err=0 rate=0.03/s eta=729min
[13:52:00]   [1440/2556] discard=807 maybe=431 keep=202 err=0 rate=0.03/s eta=723min
[13:58:21]   [1450/2556] discard=811 maybe=435 keep=204 err=0 rate=0.03/s eta=716min
[14:04:44]   [1460/2556] discard=819 maybe=435 keep=206 err=0 rate=0.03/s eta=710min
[14:11:03]   [1470/2556] discard=825 maybe=439 keep=206 err=0 rate=0.03/s eta=703min
[14:17:27]   [1480/2556] discard=832 maybe=441 keep=207 err=0 rate=0.03/s eta=697min
[14:23:50]   [1490/2556] discard=837 maybe=445 keep=208 err=0 rate=0.03/s eta=690min
[14:30:27]   [1500/2556] discard=845 maybe=447 keep=208 err=0 rate=0.03/s eta=684min
[14:36:58]   [1510/2556] discard=851 maybe=449 keep=210 err=0 rate=0.03/s eta=677min
[14:43:30]   [1520/2556] discard=859 maybe=449 keep=212 err=0 rate=0.03/s eta=671min
[14:49:55]   [1530/2556] discard=865 maybe=452 keep=213 err=0 rate=0.03/s eta=664min
[14:56:21]   [1540/2556] discard=873 maybe=454 keep=213 err=0 rate=0.03/s eta=658min
[15:02:46]   [1550/2556] discard=881 maybe=455 keep=214 err=0 rate=0.03/s eta=651min
[15:09:18]   [1560/2556] discard=887 maybe=459 keep=214 err=0 rate=0.03/s eta=645min
[15:15:46]   [1570/2556] discard=893 maybe=460 keep=217 err=0 rate=0.03/s eta=638min
[15:22:08]   [1580/2556] discard=901 maybe=461 keep=218 err=0 rate=0.03/s eta=632min
[15:28:35]   [1590/2556] discard=907 maybe=465 keep=218 err=0 rate=0.03/s eta=625min
[15:35:05]   [1600/2556] discard=911 maybe=470 keep=219 err=0 rate=0.03/s eta=619min
[15:41:43]   [1610/2556] discard=917 maybe=474 keep=219 err=0 rate=0.03/s eta=612min
[15:48:04]   [1620/2556] discard=926 maybe=475 keep=219 err=0 rate=0.03/s eta=606min
[15:54:22]   [1630/2556] discard=933 maybe=477 keep=220 err=0 rate=0.03/s eta=599min
[16:00:48]   [1640/2556] discard=942 maybe=478 keep=220 err=0 rate=0.03/s eta=593min
[16:07:10]   [1650/2556] discard=949 maybe=481 keep=220 err=0 rate=0.03/s eta=586min
[16:13:36]   [1660/2556] discard=957 maybe=482 keep=221 err=0 rate=0.03/s eta=580min
[16:20:03]   [1670/2556] discard=963 maybe=483 keep=224 err=0 rate=0.03/s eta=573min
[16:26:33]   [1680/2556] discard=968 maybe=487 keep=225 err=0 rate=0.03/s eta=567min
[16:33:25]   [1690/2556] discard=976 maybe=489 keep=225 err=0 rate=0.03/s eta=561min
[16:39:43]   [1700/2556] discard=984 maybe=491 keep=225 err=0 rate=0.03/s eta=554min
[16:46:13]   [1710/2556] discard=989 maybe=494 keep=227 err=0 rate=0.03/s eta=548min
[16:52:41]   [1720/2556] discard=994 maybe=497 keep=229 err=0 rate=0.03/s eta=541min
[16:59:13]   [1730/2556] discard=1002 maybe=498 keep=230 err=0 rate=0.03/s eta=535min
[17:05:52]   [1740/2556] discard=1005 maybe=502 keep=233 err=0 rate=0.03/s eta=528min
[17:12:20]   [1750/2556] discard=1010 maybe=504 keep=236 err=0 rate=0.03/s eta=522min
[17:18:52]   [1760/2556] discard=1016 maybe=507 keep=237 err=0 rate=0.03/s eta=515min
[17:25:30]   [1770/2556] discard=1020 maybe=511 keep=239 err=0 rate=0.03/s eta=509min
[17:31:53]   [1780/2556] discard=1025 maybe=515 keep=240 err=0 rate=0.03/s eta=502min
[17:38:11]   [1790/2556] discard=1033 maybe=517 keep=240 err=0 rate=0.03/s eta=496min
[17:44:36]   [1800/2556] discard=1041 maybe=518 keep=241 err=0 rate=0.03/s eta=489min
[17:50:58]   [1810/2556] discard=1048 maybe=520 keep=242 err=0 rate=0.03/s eta=483min
[17:57:14]   [1820/2556] discard=1056 maybe=522 keep=242 err=0 rate=0.03/s eta=476min
[18:03:44]   [1830/2556] discard=1062 maybe=525 keep=243 err=0 rate=0.03/s eta=470min
[18:10:19]   [1840/2556] discard=1069 maybe=528 keep=243 err=0 rate=0.03/s eta=463min
[18:16:55]   [1850/2556] discard=1073 maybe=533 keep=244 err=0 rate=0.03/s eta=457min
[18:23:30]   [1860/2556] discard=1077 maybe=539 keep=244 err=0 rate=0.03/s eta=451min
[18:29:51]   [1870/2556] discard=1083 maybe=540 keep=247 err=0 rate=0.03/s eta=444min
[18:36:13]   [1880/2556] discard=1089 maybe=544 keep=247 err=0 rate=0.03/s eta=438min
[18:42:30]   [1890/2556] discard=1096 maybe=546 keep=248 err=0 rate=0.03/s eta=431min
[18:49:01]   [1900/2556] discard=1103 maybe=547 keep=250 err=0 rate=0.03/s eta=425min
[18:55:28]   [1910/2556] discard=1104 maybe=548 keep=258 err=0 rate=0.03/s eta=418min
[19:01:51]   [1920/2556] discard=1104 maybe=549 keep=267 err=0 rate=0.03/s eta=412min
[19:08:16]   [1930/2556] discard=1104 maybe=549 keep=277 err=0 rate=0.03/s eta=405min
[19:14:52]   [1940/2556] discard=1104 maybe=550 keep=286 err=0 rate=0.03/s eta=399min
[19:21:12]   [1950/2556] discard=1104 maybe=553 keep=293 err=0 rate=0.03/s eta=392min
[19:27:30]   [1960/2556] discard=1104 maybe=554 keep=302 err=0 rate=0.03/s eta=386min
[19:33:52]   [1970/2556] discard=1105 maybe=555 keep=310 err=0 rate=0.03/s eta=379min
[19:40:13]   [1980/2556] discard=1105 maybe=555 keep=320 err=0 rate=0.03/s eta=373min
[19:46:40]   [1990/2556] discard=1105 maybe=559 keep=326 err=0 rate=0.03/s eta=366min
[19:53:14]   [2000/2556] discard=1107 maybe=562 keep=331 err=0 rate=0.03/s eta=360min
[19:59:37]   [2010/2556] discard=1107 maybe=565 keep=338 err=0 rate=0.03/s eta=353min
[20:06:10]   [2020/2556] discard=1109 maybe=568 keep=343 err=0 rate=0.03/s eta=347min
[20:12:34]   [2030/2556] discard=1111 maybe=571 keep=348 err=0 rate=0.03/s eta=340min
[20:18:49]   [2040/2556] discard=1112 maybe=574 keep=354 err=0 rate=0.03/s eta=334min
[20:25:13]   [2050/2556] discard=1112 maybe=577 keep=361 err=0 rate=0.03/s eta=327min
[20:31:37]   [2060/2556] discard=1112 maybe=581 keep=367 err=0 rate=0.03/s eta=321min
[20:38:03]   [2070/2556] discard=1112 maybe=585 keep=373 err=0 rate=0.03/s eta=314min
[20:44:20]   [2080/2556] discard=1112 maybe=589 keep=379 err=0 rate=0.03/s eta=308min
[20:50:51]   [2090/2556] discard=1112 maybe=592 keep=386 err=0 rate=0.03/s eta=301min
[20:57:17]   [2100/2556] discard=1113 maybe=593 keep=394 err=0 rate=0.03/s eta=295min
[21:03:35]   [2110/2556] discard=1114 maybe=594 keep=402 err=0 rate=0.03/s eta=288min
[21:10:11]   [2120/2556] discard=1114 maybe=599 keep=407 err=0 rate=0.03/s eta=282min
[21:16:34]   [2130/2556] discard=1115 maybe=599 keep=416 err=0 rate=0.03/s eta=275min
[21:23:07]   [2140/2556] discard=1116 maybe=604 keep=420 err=0 rate=0.03/s eta=269min
[21:31:08]   [2150/2556] discard=1116 maybe=606 keep=428 err=0 rate=0.03/s eta=263min
[21:37:51]   [2160/2556] discard=1116 maybe=609 keep=435 err=0 rate=0.03/s eta=256min
[21:44:36]   [2170/2556] discard=1116 maybe=611 keep=443 err=0 rate=0.03/s eta=250min
[21:51:06]   [2180/2556] discard=1123 maybe=611 keep=446 err=0 rate=0.03/s eta=243min
[21:57:44]   [2190/2556] discard=1129 maybe=614 keep=447 err=0 rate=0.03/s eta=237min
[22:04:16]   [2200/2556] discard=1136 maybe=616 keep=448 err=0 rate=0.03/s eta=231min
[22:10:52]   [2210/2556] discard=1137 maybe=619 keep=454 err=0 rate=0.03/s eta=224min
[22:17:16]   [2220/2556] discard=1137 maybe=620 keep=463 err=0 rate=0.03/s eta=218min
[22:23:39]   [2230/2556] discard=1138 maybe=622 keep=470 err=0 rate=0.03/s eta=211min
[22:30:06]   [2240/2556] discard=1139 maybe=624 keep=477 err=0 rate=0.03/s eta=205min
[22:36:55]   [2250/2556] discard=1141 maybe=627 keep=482 err=0 rate=0.03/s eta=198min
[22:43:38]   [2260/2556] discard=1145 maybe=628 keep=487 err=0 rate=0.03/s eta=192min
[22:50:05]   [2270/2556] discard=1148 maybe=630 keep=492 err=0 rate=0.03/s eta=185min
[22:56:37]   [2280/2556] discard=1151 maybe=632 keep=497 err=0 rate=0.03/s eta=179min
[23:03:01]   [2290/2556] discard=1154 maybe=635 keep=501 err=0 rate=0.03/s eta=172min
[23:09:32]   [2300/2556] discard=1155 maybe=639 keep=506 err=0 rate=0.03/s eta=166min
[23:15:59]   [2310/2556] discard=1158 maybe=641 keep=511 err=0 rate=0.03/s eta=159min
[23:22:31]   [2320/2556] discard=1159 maybe=643 keep=518 err=0 rate=0.03/s eta=153min
[23:29:08]   [2330/2556] discard=1160 maybe=646 keep=524 err=0 rate=0.03/s eta=146min
[23:35:35]   [2340/2556] discard=1160 maybe=651 keep=529 err=0 rate=0.03/s eta=140min
[23:42:21]   [2350/2556] discard=1162 maybe=655 keep=533 err=0 rate=0.03/s eta=134min
[23:48:45]   [2360/2556] discard=1165 maybe=656 keep=539 err=0 rate=0.03/s eta=127min
[23:55:10]   [2370/2556] discard=1167 maybe=656 keep=547 err=0 rate=0.03/s eta=121min
[00:01:41]   [2380/2556] discard=1169 maybe=660 keep=551 err=0 rate=0.03/s eta=114min
[00:08:01]   [2390/2556] discard=1171 maybe=665 keep=554 err=0 rate=0.03/s eta=108min
[00:14:23]   [2400/2556] discard=1175 maybe=666 keep=559 err=0 rate=0.03/s eta=101min
[00:20:50]   [2410/2556] discard=1180 maybe=670 keep=560 err=0 rate=0.03/s eta=95min
[00:27:12]   [2420/2556] discard=1185 maybe=674 keep=561 err=0 rate=0.03/s eta=88min
[00:33:35]   [2430/2556] discard=1190 maybe=674 keep=566 err=0 rate=0.03/s eta=82min
[00:40:14]   [2440/2556] discard=1190 maybe=679 keep=571 err=0 rate=0.03/s eta=75min
[00:46:37]   [2450/2556] discard=1194 maybe=682 keep=574 err=0 rate=0.03/s eta=69min
[00:52:56]   [2460/2556] discard=1201 maybe=684 keep=575 err=0 rate=0.03/s eta=62min
[00:59:20]   [2470/2556] discard=1208 maybe=687 keep=575 err=0 rate=0.03/s eta=56min
[01:05:41]   [2480/2556] discard=1214 maybe=690 keep=576 err=0 rate=0.03/s eta=49min
[01:12:06]   [2490/2556] discard=1215 maybe=694 keep=581 err=0 rate=0.03/s eta=43min
[01:18:31]   [2500/2556] discard=1218 maybe=697 keep=585 err=0 rate=0.03/s eta=36min
[01:24:52]   [2510/2556] discard=1220 maybe=699 keep=591 err=0 rate=0.03/s eta=30min
[01:31:23]   [2520/2556] discard=1223 maybe=704 keep=593 err=0 rate=0.03/s eta=23min
[01:37:38]   [2530/2556] discard=1227 maybe=707 keep=596 err=0 rate=0.03/s eta=17min
[01:43:59]   [2540/2556] discard=1231 maybe=710 keep=599 err=0 rate=0.03/s eta=10min
[01:50:28]   [2550/2556] discard=1234 maybe=715 keep=601 err=0 rate=0.03/s eta=4min
[01:54:20] 
=== DONE ===
[01:54:20] Total processed: 2556
[01:54:20] Discarded: 1235
[01:54:20] Maybe: 716
[01:54:20] Kept: 605
[01:54:20] Errors: 0
[01:54:20] 
CSV: /home/scott/slr/non-ssrn/decisions.csv
[01:54:20] Decisions: /home/scott/slr/non-ssrn/decisions.jsonl
